,Text,Tweet Id,no_contract,tokenized,lower_case,punctuation_removed,stopwords_removed,Text_Cleaned,Target
14870,RT Our biggest prize yet. VBI &amp; Vast are back with a HOT giveaway. Because you deserve all the nice things: 🎉 iPhone Xs…,1042406013398216704,RT Our biggest prize yet. VBI &amp; Vast are back with a HOT giveaway. Because you deserve all the nice things: 🎉 iPhone Xs…,"['RT', 'Our', 'biggest', 'prize', 'yet', '.', 'VBI', '&', 'amp', ';', 'Vast', 'are', 'back', 'with', 'a', 'HOT', 'giveaway', '.', 'Because', 'you', 'deserve', 'all', 'the', 'nice', 'things', ':', '🎉', 'iPhone', 'Xs…']","['rt', 'our', 'biggest', 'prize', 'yet', '.', 'vbi', '&', 'amp', ';', 'vast', 'are', 'back', 'with', 'a', 'hot', 'giveaway', '.', 'because', 'you', 'deserve', 'all', 'the', 'nice', 'things', ':', '🎉', 'iphone', 'xs…']","['rt', 'our', 'biggest', 'prize', 'yet', 'vbi', 'amp', 'vast', 'are', 'back', 'with', 'a', 'hot', 'giveaway', 'because', 'you', 'deserve', 'all', 'the', 'nice', 'things', '🎉', 'iphone', 'xs…']","['rt', 'biggest', 'prize', 'yet', 'vbi', 'amp', 'vast', 'back', 'hot', 'giveaway', 'deserve', 'nice', 'things', '🎉', 'iphone', 'xs…']",rt biggest prize yet vbi amp vast back hot giveaway deserve nice things 🎉 iphone xs…,0
5883,RT I’m so happy now😊 https://t.co/E2Zz8JmMvm,1043267259756470272,RT I am so happy now😊 https://t.co/E2Zz8JmMvm,"['RT', 'I', 'am', 'so', 'happy', 'now😊', 'https', ':', '//t.co/E2Zz8JmMvm']","['rt', 'i', 'am', 'so', 'happy', 'now😊', 'https', ':', '//t.co/e2zz8jmmvm']","['rt', 'i', 'am', 'so', 'happy', 'now😊', 'https', '//t.co/e2zz8jmmvm']","['rt', 'happy', 'now😊', '//t.co/e2zz8jmmvm']",rt happy now😊 //t.co/e2zz8jmmvm,0
13235,I’m gonna love this full screen 🙌🏽. https://t.co/6BYHd3iKSL,1042583628679663616,I am going to love this full screen 🙌🏽. https://t.co/6BYHd3iKSL,"['I', 'am', 'going', 'to', 'love', 'this', 'full', 'screen', '🙌🏽', '.', 'https', ':', '//t.co/6BYHd3iKSL']","['i', 'am', 'going', 'to', 'love', 'this', 'full', 'screen', '🙌🏽', '.', 'https', ':', '//t.co/6byhd3iksl']","['i', 'am', 'going', 'to', 'love', 'this', 'full', 'screen', '🙌🏽', 'https', '//t.co/6byhd3iksl']","['going', 'love', 'full', 'screen', '🙌🏽', '//t.co/6byhd3iksl']",going love full screen 🙌🏽 //t.co/6byhd3iksl,0
13717,Now just need my iPhone to get here! https://t.co/s0lkZkAK82 https://t.co/3XQfKy2iYQ,1042506591306768384,Now just need my iPhone to get here! https://t.co/s0lkZkAK82 https://t.co/3XQfKy2iYQ,"['Now', 'just', 'need', 'my', 'iPhone', 'to', 'get', 'here', '!', 'https', ':', '//t.co/s0lkZkAK82', 'https', ':', '//t.co/3XQfKy2iYQ']","['now', 'just', 'need', 'my', 'iphone', 'to', 'get', 'here', '!', 'https', ':', '//t.co/s0lkzkak82', 'https', ':', '//t.co/3xqfky2iyq']","['now', 'just', 'need', 'my', 'iphone', 'to', 'get', 'here', 'https', '//t.co/s0lkzkak82', 'https', '//t.co/3xqfky2iyq']","['need', 'iphone', 'get', '//t.co/s0lkzkak82', '//t.co/3xqfky2iyq']",need iphone get //t.co/s0lkzkak82 //t.co/3xqfky2iyq,0
13349,RT Mi 8 Pro looks like an boasts an in-display fingerprint reader. https://t.co/UxClT25AXc,1042564575453999104,RT Mi 8 Pro looks like an boasts an in-display fingerprint reader. https://t.co/UxClT25AXc,"['RT', 'Mi', '8', 'Pro', 'looks', 'like', 'an', 'boasts', 'an', 'in-display', 'fingerprint', 'reader', '.', 'https', ':', '//t.co/UxClT25AXc']","['rt', 'mi', '8', 'pro', 'looks', 'like', 'an', 'boasts', 'an', 'in-display', 'fingerprint', 'reader', '.', 'https', ':', '//t.co/uxclt25axc']","['rt', 'mi', '8', 'pro', 'looks', 'like', 'an', 'boasts', 'an', 'in-display', 'fingerprint', 'reader', 'https', '//t.co/uxclt25axc']","['rt', 'mi', '8', 'pro', 'looks', 'like', 'boasts', 'in-display', 'fingerprint', 'reader', '//t.co/uxclt25axc']",rt mi 8 pro looks like boasts in-display fingerprint reader //t.co/uxclt25axc,0
7284,RT I’m so happy now😊 https://t.co/E2Zz8JmMvm,1043194944326758400,RT I am so happy now😊 https://t.co/E2Zz8JmMvm,"['RT', 'I', 'am', 'so', 'happy', 'now😊', 'https', ':', '//t.co/E2Zz8JmMvm']","['rt', 'i', 'am', 'so', 'happy', 'now😊', 'https', ':', '//t.co/e2zz8jmmvm']","['rt', 'i', 'am', 'so', 'happy', 'now😊', 'https', '//t.co/e2zz8jmmvm']","['rt', 'happy', 'now😊', '//t.co/e2zz8jmmvm']",rt happy now😊 //t.co/e2zz8jmmvm,0
9369,It has arrived. https://t.co/9BY3b9YiPX,1043113888152203265,It has arrived. https://t.co/9BY3b9YiPX,"['It', 'has', 'arrived', '.', 'https', ':', '//t.co/9BY3b9YiPX']","['it', 'has', 'arrived', '.', 'https', ':', '//t.co/9by3b9yipx']","['it', 'has', 'arrived', 'https', '//t.co/9by3b9yipx']","['arrived', '//t.co/9by3b9yipx']",arrived //t.co/9by3b9yipx,0
3495,unfortunately this is true af! https://t.co/OIHxEnIp4V,1043510673009926144,unfortunately this is true af! https://t.co/OIHxEnIp4V,"['unfortunately', 'this', 'is', 'true', 'af', '!', 'https', ':', '//t.co/OIHxEnIp4V']","['unfortunately', 'this', 'is', 'true', 'af', '!', 'https', ':', '//t.co/oihxenip4v']","['unfortunately', 'this', 'is', 'true', 'af', 'https', '//t.co/oihxenip4v']","['unfortunately', 'true', 'af', '//t.co/oihxenip4v']",unfortunately true af //t.co/oihxenip4v,0
5249,RT (l) and (r) side by side. Interesting how there is no real difference in the width but the No…,1043309531789291520,RT (l) and (r) side by side. Interesting how there is no real difference in the width but the No…,"['RT', '(', 'l', ')', 'and', '(', 'r', ')', 'side', 'by', 'side', '.', 'Interesting', 'how', 'there', 'is', 'no', 'real', 'difference', 'in', 'the', 'width', 'but', 'the', 'No…']","['rt', '(', 'l', ')', 'and', '(', 'r', ')', 'side', 'by', 'side', '.', 'interesting', 'how', 'there', 'is', 'no', 'real', 'difference', 'in', 'the', 'width', 'but', 'the', 'no…']","['rt', 'l', 'and', 'r', 'side', 'by', 'side', 'interesting', 'how', 'there', 'is', 'no', 'real', 'difference', 'in', 'the', 'width', 'but', 'the', 'no…']","['rt', 'l', 'r', 'side', 'side', 'interesting', 'real', 'difference', 'width', 'no…']",rt l r side side interesting real difference width no…,0
10795,RT Brand New iPhone XS MAX with faulty display. https://t.co/G7f…,1042981996115283970,RT Brand New iPhone XS MAX with faulty display. https://t.co/G7f…,"['RT', 'Brand', 'New', 'iPhone', 'XS', 'MAX', 'with', 'faulty', 'display', '.', 'https', ':', '//t.co/G7f…']","['rt', 'brand', 'new', 'iphone', 'xs', 'max', 'with', 'faulty', 'display', '.', 'https', ':', '//t.co/g7f…']","['rt', 'brand', 'new', 'iphone', 'xs', 'max', 'with', 'faulty', 'display', 'https', '//t.co/g7f…']","['rt', 'brand', 'new', 'iphone', 'xs', 'max', 'faulty', 'display', '//t.co/g7f…']",rt brand new iphone xs max faulty display //t.co/g7f…,0
10156,"RT said they tested the new iPhone's IP68 waterproof rating with beer. So naturally, we decided to challenge their claim—by…",1043046776213790720,"RT said they tested the new iPhone's IP68 waterproof rating with beer. So naturally, we decided to challenge their claim—by…","['RT', 'said', 'they', 'tested', 'the', 'new', 'iPhone', ""'s"", 'IP68', 'waterproof', 'rating', 'with', 'beer', '.', 'So', 'naturally', ',', 'we', 'decided', 'to', 'challenge', 'their', 'claim—by…']","['rt', 'said', 'they', 'tested', 'the', 'new', 'iphone', ""'s"", 'ip68', 'waterproof', 'rating', 'with', 'beer', '.', 'so', 'naturally', ',', 'we', 'decided', 'to', 'challenge', 'their', 'claim—by…']","['rt', 'said', 'they', 'tested', 'the', 'new', 'iphone', ""'s"", 'ip68', 'waterproof', 'rating', 'with', 'beer', 'so', 'naturally', 'we', 'decided', 'to', 'challenge', 'their', 'claim—by…']","['rt', 'said', 'tested', 'new', 'iphone', ""'s"", 'ip68', 'waterproof', 'rating', 'beer', 'naturally', 'decided', 'challenge', 'claim—by…']",rt said tested new iphone 's ip68 waterproof rating beer naturally decided challenge claim—by…,0
10259,RT For iPhone XS 8 Plus 3D Curved Screen Protector Full Tempered Glass + Clear Case Weekend Offer deli…,1043039149383503872,RT For iPhone XS 8 Plus 3D Curved Screen Protector Full Tempered Glass + Clear Case Weekend Offer deli…,"['RT', 'For', 'iPhone', 'XS', '8', 'Plus', '3D', 'Curved', 'Screen', 'Protector', 'Full', 'Tempered', 'Glass', '+', 'Clear', 'Case', 'Weekend', 'Offer', 'deli…']","['rt', 'for', 'iphone', 'xs', '8', 'plus', '3d', 'curved', 'screen', 'protector', 'full', 'tempered', 'glass', '+', 'clear', 'case', 'weekend', 'offer', 'deli…']","['rt', 'for', 'iphone', 'xs', '8', 'plus', '3d', 'curved', 'screen', 'protector', 'full', 'tempered', 'glass', 'clear', 'case', 'weekend', 'offer', 'deli…']","['rt', 'iphone', 'xs', '8', 'plus', '3d', 'curved', 'screen', 'protector', 'full', 'tempered', 'glass', 'clear', 'case', 'weekend', 'offer', 'deli…']",rt iphone xs 8 plus 3d curved screen protector full tempered glass clear case weekend offer deli…,0
10648,"Here's a cool resource for those iOS developers wanting to make their apps support the iPhone XS, XS Max, and XR… https://t.co/B8lYsh648Q",1043000384527130625,"here is a cool resource for those iOS developers wanting to make their apps support the iPhone XS, XS Max, and XR… https://t.co/B8lYsh648Q","['here', 'is', 'a', 'cool', 'resource', 'for', 'those', 'iOS', 'developers', 'wanting', 'to', 'make', 'their', 'apps', 'support', 'the', 'iPhone', 'XS', ',', 'XS', 'Max', ',', 'and', 'XR…', 'https', ':', '//t.co/B8lYsh648Q']","['here', 'is', 'a', 'cool', 'resource', 'for', 'those', 'ios', 'developers', 'wanting', 'to', 'make', 'their', 'apps', 'support', 'the', 'iphone', 'xs', ',', 'xs', 'max', ',', 'and', 'xr…', 'https', ':', '//t.co/b8lysh648q']","['here', 'is', 'a', 'cool', 'resource', 'for', 'those', 'ios', 'developers', 'wanting', 'to', 'make', 'their', 'apps', 'support', 'the', 'iphone', 'xs', 'xs', 'max', 'and', 'xr…', 'https', '//t.co/b8lysh648q']","['cool', 'resource', 'ios', 'developers', 'wanting', 'make', 'apps', 'support', 'iphone', 'xs', 'xs', 'max', 'xr…', '//t.co/b8lysh648q']",cool resource ios developers wanting make apps support iphone xs xs max xr… //t.co/b8lysh648q,0
8486,RT New looking 🔥. But that price tag? 🤢🤮🤮 We’re giving one away so you don’t have to break the bank. Win an by…,1043144081717649408,RT New looking 🔥. But that price tag? 🤢🤮🤮 we are giving one away so you do not have to break the bank. Win an by…,"['RT', 'New', 'looking', '🔥', '.', 'But', 'that', 'price', 'tag', '?', '🤢🤮🤮', 'we', 'are', 'giving', 'one', 'away', 'so', 'you', 'do', 'not', 'have', 'to', 'break', 'the', 'bank', '.', 'Win', 'an', 'by…']","['rt', 'new', 'looking', '🔥', '.', 'but', 'that', 'price', 'tag', '?', '🤢🤮🤮', 'we', 'are', 'giving', 'one', 'away', 'so', 'you', 'do', 'not', 'have', 'to', 'break', 'the', 'bank', '.', 'win', 'an', 'by…']","['rt', 'new', 'looking', '🔥', 'but', 'that', 'price', 'tag', '🤢🤮🤮', 'we', 'are', 'giving', 'one', 'away', 'so', 'you', 'do', 'not', 'have', 'to', 'break', 'the', 'bank', 'win', 'an', 'by…']","['rt', 'new', 'looking', '🔥', 'price', 'tag', '🤢🤮🤮', 'giving', 'one', 'away', 'break', 'bank', 'win', 'by…']",rt new looking 🔥 price tag 🤢🤮🤮 giving one away break bank win by…,0
4600,"RT Good evening, Jio and Apple fans. They’re here: 👍🌈💥⚡️ https://t.co/f5nCJTlhlk",1043359110325051392,"RT Good evening, Jio and Apple fans. they are here: 👍🌈💥⚡️ https://t.co/f5nCJTlhlk","['RT', 'Good', 'evening', ',', 'Jio', 'and', 'Apple', 'fans', '.', 'they', 'are', 'here', ':', '👍🌈💥⚡️', 'https', ':', '//t.co/f5nCJTlhlk']","['rt', 'good', 'evening', ',', 'jio', 'and', 'apple', 'fans', '.', 'they', 'are', 'here', ':', '👍🌈💥⚡️', 'https', ':', '//t.co/f5ncjtlhlk']","['rt', 'good', 'evening', 'jio', 'and', 'apple', 'fans', 'they', 'are', 'here', '👍🌈💥⚡️', 'https', '//t.co/f5ncjtlhlk']","['rt', 'good', 'evening', 'jio', 'apple', 'fans', '👍🌈💥⚡️', '//t.co/f5ncjtlhlk']",rt good evening jio apple fans 👍🌈💥⚡️ //t.co/f5ncjtlhlk,0
238,"Finally Kansas City, Missouri https://t.co/AywQIjHoub",1043970701529501696,"Finally Kansas City, Missouri https://t.co/AywQIjHoub","['Finally', 'Kansas', 'City', ',', 'Missouri', 'https', ':', '//t.co/AywQIjHoub']","['finally', 'kansas', 'city', ',', 'missouri', 'https', ':', '//t.co/aywqijhoub']","['finally', 'kansas', 'city', 'missouri', 'https', '//t.co/aywqijhoub']","['finally', 'kansas', 'city', 'missouri', '//t.co/aywqijhoub']",finally kansas city missouri //t.co/aywqijhoub,0
6401,📱Great Launch of IPhoneXsMax❤️ Photo was taken by New IPhoneSMax — at Best Buy Canada (Preston Crossing) https://t.co/TjKBlzrmJE,1043238287475761152,📱Great Launch of IPhoneXsMax❤️ Photo was taken by New IPhoneSMax — at Best Buy Canada (Preston Crossing) https://t.co/TjKBlzrmJE,"['📱Great', 'Launch', 'of', 'IPhoneXsMax❤️', 'Photo', 'was', 'taken', 'by', 'New', 'IPhoneSMax', '—', 'at', 'Best', 'Buy', 'Canada', '(', 'Preston', 'Crossing', ')', 'https', ':', '//t.co/TjKBlzrmJE']","['📱great', 'launch', 'of', 'iphonexsmax❤️', 'photo', 'was', 'taken', 'by', 'new', 'iphonesmax', '—', 'at', 'best', 'buy', 'canada', '(', 'preston', 'crossing', ')', 'https', ':', '//t.co/tjkblzrmje']","['📱great', 'launch', 'of', 'iphonexsmax❤️', 'photo', 'was', 'taken', 'by', 'new', 'iphonesmax', '—', 'at', 'best', 'buy', 'canada', 'preston', 'crossing', 'https', '//t.co/tjkblzrmje']","['📱great', 'launch', 'iphonexsmax❤️', 'photo', 'taken', 'new', 'iphonesmax', '—', 'best', 'buy', 'canada', 'preston', 'crossing', '//t.co/tjkblzrmje']",📱great launch iphonexsmax❤️ photo taken new iphonesmax — best buy canada preston crossing //t.co/tjkblzrmje,0
9094,Welcome the the family &amp; It just keeps getting better! 😉😁🌎 https://t.co/e1seWRmubd,1043129020676759553,Welcome the the family &amp; It just keeps getting better! 😉😁🌎 https://t.co/e1seWRmubd,"['Welcome', 'the', 'the', 'family', '&', 'amp', ';', 'It', 'just', 'keeps', 'getting', 'better', '!', '😉😁🌎', 'https', ':', '//t.co/e1seWRmubd']","['welcome', 'the', 'the', 'family', '&', 'amp', ';', 'it', 'just', 'keeps', 'getting', 'better', '!', '😉😁🌎', 'https', ':', '//t.co/e1sewrmubd']","['welcome', 'the', 'the', 'family', 'amp', 'it', 'just', 'keeps', 'getting', 'better', '😉😁🌎', 'https', '//t.co/e1sewrmubd']","['welcome', 'family', 'amp', 'keeps', 'getting', 'better', '😉😁🌎', '//t.co/e1sewrmubd']",welcome family amp keeps getting better 😉😁🌎 //t.co/e1sewrmubd,0
6811,RT 29: Do you think the IphoneXS is worth it from the X? Tags:,1043216553163071488,RT 29: Do you think the IphoneXS is worth it from the X? Tags:,"['RT', '29', ':', 'Do', 'you', 'think', 'the', 'IphoneXS', 'is', 'worth', 'it', 'from', 'the', 'X', '?', 'Tags', ':']","['rt', '29', ':', 'do', 'you', 'think', 'the', 'iphonexs', 'is', 'worth', 'it', 'from', 'the', 'x', '?', 'tags', ':']","['rt', '29', 'do', 'you', 'think', 'the', 'iphonexs', 'is', 'worth', 'it', 'from', 'the', 'x', 'tags']","['rt', '29', 'think', 'iphonexs', 'worth', 'x', 'tags']",rt 29 think iphonexs worth x tags,0
4426,"RT Hey, iHeart! Download and play this! It’s freaking awesome! Gravity - Mr. Blocks Downfall https://t.co/1kXWM3SFXz",1043382958705569792,"RT Hey, iHeart! Download and play this! it is freaking awesome! Gravity - Mr. Blocks Downfall https://t.co/1kXWM3SFXz","['RT', 'Hey', ',', 'iHeart', '!', 'Download', 'and', 'play', 'this', '!', 'it', 'is', 'freaking', 'awesome', '!', 'Gravity', '-', 'Mr', '.', 'Blocks', 'Downfall', 'https', ':', '//t.co/1kXWM3SFXz']","['rt', 'hey', ',', 'iheart', '!', 'download', 'and', 'play', 'this', '!', 'it', 'is', 'freaking', 'awesome', '!', 'gravity', '-', 'mr', '.', 'blocks', 'downfall', 'https', ':', '//t.co/1kxwm3sfxz']","['rt', 'hey', 'iheart', 'download', 'and', 'play', 'this', 'it', 'is', 'freaking', 'awesome', 'gravity', 'mr', 'blocks', 'downfall', 'https', '//t.co/1kxwm3sfxz']","['rt', 'iheart', 'download', 'play', 'freaking', 'awesome', 'gravity', 'mr', 'blocks', 'downfall', '//t.co/1kxwm3sfxz']",rt iheart download play freaking awesome gravity mr blocks downfall //t.co/1kxwm3sfxz,0
